"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"716745",3415763683,"Lamiales","Orobanchaceae","Castilleja","Castilleja flava","flava","VARIETY","Castilleja flava var. flava","Castilleja flava flava","","","Nevada",41.825536,-115.468178,4
"8555771",2540741186,"Solanales","Solanaceae","Hyoscyamus","Hyoscyamus niger","","SPECIES","Hyoscyamus niger L.","Hyoscyamus niger","","","Nevada",41.834354,-115.699346,4
"6953",3456498575,"Brassicales","Brassicaceae","Cardamine","Cardamine cordifolia","","SPECIES","Cardamine cordifolia A.Gray","Cardamine cordifolia","","","Nevada",41.787872,-115.475389,3
"267297",3321224460,"Brassicales","Brassicaceae","Phoenicaulis","Phoenicaulis cheiranthoides","","SPECIES","Phoenicaulis cheiranthoides Nutt.","Phoenicaulis cheiranthoides","","","Nevada",41.78325,-115.787994,21
"77471",3966696089,"Brassicales","Brassicaceae","Chorispora","Chorispora tenella","","SPECIES","Chorispora tenella (Pall.) DC.","Chorispora tenella","","","Nevada",41.708325,-116.551055,25
"950853",3902473640,"Brassicales","Brassicaceae","Lepidium","Lepidium latifolium","","SPECIES","Lepidium latifolium L.","Lepidium latifolium","","","Nevada",41.943188,-114.687545,4
"105137",3705811395,"Brassicales","Brassicaceae","Alyssum","Alyssum turkestanicum","","SPECIES","Alyssum desertorum Stapf","Alyssum desertorum","","","Nevada",41.748496,-114.07592,8
"1360111",4171964482,"Brassicales","Brassicaceae","Lepidium","Lepidium latifolium","","SPECIES","Lepidium latifolium L.","Lepidium latifolium","","","Nevada",41.943175,-114.687547,4
"1481222",3321035448,"Brassicales","Brassicaceae","Cusickiella","Cusickiella douglasii","","SPECIES","Cusickiella douglasii (A.Gray) Rollins","Cusickiella douglasii","","","Nevada",41.779944,-115.789803,9
"180598",3985614136,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum vimineum","","SPECIES","Eriogonum vimineum Douglas ex Benth.","Eriogonum vimineum","","","Nevada",41.685863,-115.507063,9
"1867292",3985771101,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum strictum","proliferum","VARIETY","Eriogonum strictum var. proliferum (Torr. & A.Gray) C.L.Hitchc.","Eriogonum strictum proliferum","","","Nevada",41.685572,-115.507492,41
"1904132",3383903797,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.825536,-115.468169,4
"200356",3966370551,"Caryophyllales","Amaranthaceae","Halogeton","Halogeton glomeratus","","SPECIES","Halogeton glomeratus (M.Bieb.) C.A.Mey.","Halogeton glomeratus","","","Nevada",41.874878,-114.711517,4
"221903",3109247532,"Caryophyllales","Montiaceae","Lewisia","Lewisia rediviva","","SPECIES","Lewisia rediviva Pursh","Lewisia rediviva","","","Nevada",41.700025,-114.819887,4
"231809",3321296516,"Caryophyllales","Polygonaceae","Bistorta","Bistorta bistortoides","","SPECIES","Bistorta bistortoides (Pursh) Small","Bistorta bistortoides","","","Nevada",41.830475,-115.456056,6
"2450251",3327712540,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum vimineum","","SPECIES","Eriogonum vimineum Douglas ex Benth.","Eriogonum vimineum","","","Nevada",41.782227,-115.787879,8
"264895",3321297439,"Caryophyllales","Caryophyllaceae","Eremogone","Eremogone congesta","","SPECIES","Eremogone congesta (Nutt. ex Torr. & A.Gray) Ikonn.","Eremogone congesta","","","Nevada",41.777411,-115.784042,10
"296407",3759099568,"Caryophyllales","Montiaceae","Lewisia","Lewisia rediviva","","SPECIES","Lewisia rediviva Pursh","Lewisia rediviva","","","Nevada",41.867717,-114.149672,26
"300507",3307351609,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum umbellatum","aureum","VARIETY","Eriogonum umbellatum var. aureum (Gand.) Reveal","Eriogonum umbellatum aureum","","","Nevada",41.777092,-115.792907,31
"302152",1898819192,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum heracleoides","","SPECIES","Eriogonum heracleoides Nutt.","Eriogonum heracleoides","","","Nevada",41.781522,-115.37947,24
"303991",2596438255,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum caespitosum","","SPECIES","Eriogonum caespitosum Nutt.","Eriogonum caespitosum","","","Nevada",41.685933,-115.806647,5
"3069011",3947451852,"Caryophyllales","Cactaceae","Pediocactus","Pediocactus simpsonii","","SPECIES","Pediocactus simpsonii (Engelm.) Britton & Rose","Pediocactus simpsonii","","","Nevada",41.914183,-114.962387,4
"309394",3320926757,"Caryophyllales","Polygonaceae","Eriogonum","Eriogonum douglasii","elkoense","VARIETY","Eriogonum douglasii var. elkoense Reveal","Eriogonum douglasii elkoense","","","Nevada",41.77745,-115.784063,3
