"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"2616781",2580222123,"Caryophyllales","Cactaceae","Echinocereus","Echinocereus triglochidiatus","mojavensis","SUBSPECIES","Echinocereus triglochidiatus subsp. mojavensis (Engelm. & J.M.Bigelow) W.Blum & Mich.Lange","Echinocereus triglochidiatus mojavensis","","","Colorado",39.841387,-108.740622,5
"3477601",2580278102,"Caryophyllales","Cactaceae","Echinocereus","Echinocereus triglochidiatus","mojavensis","SUBSPECIES","Echinocereus triglochidiatus subsp. mojavensis (Engelm. & J.M.Bigelow) W.Blum & Mich.Lange","Echinocereus triglochidiatus mojavensis","","","Colorado",39.841983,-108.73835,5
"3930441",2580267040,"Caryophyllales","Cactaceae","Echinocereus","Echinocereus triglochidiatus","mojavensis","SUBSPECIES","Echinocereus triglochidiatus subsp. mojavensis (Engelm. & J.M.Bigelow) W.Blum & Mich.Lange","Echinocereus triglochidiatus mojavensis","","","Colorado",39.84143,-108.742097,5
"4575371",3058683303,"Caryophyllales","Tamaricaceae","Tamarix","Tamarix ramosissima","","SPECIES","Tamarix ramosissima Ledeb.","Tamarix ramosissima","","","Colorado",39.589981,-108.825755,5
"617755",2580247021,"Caryophyllales","Cactaceae","Echinocereus","Echinocereus triglochidiatus","mojavensis","SUBSPECIES","Echinocereus triglochidiatus subsp. mojavensis (Engelm. & J.M.Bigelow) W.Blum & Mich.Lange","Echinocereus triglochidiatus mojavensis","","","Colorado",39.84142,-108.740608,5
"631373",3302365455,"Caryophyllales","Cactaceae","Echinocereus","Echinocereus triglochidiatus","mojavensis","SUBSPECIES","Echinocereus triglochidiatus subsp. mojavensis (Engelm. & J.M.Bigelow) W.Blum & Mich.Lange","Echinocereus triglochidiatus mojavensis","","","Colorado",39.842382,-108.737948,5
"919446",3712431304,"Fagales","Fagaceae","Quercus","Quercus gambelii","","SPECIES","Quercus gambelii Nutt.","Quercus gambelii","","","Colorado",39.648105,-108.788705,5
"252685",4407192877,"Fabales","Fabaceae","Astragalus","Astragalus kentrophyta","","SPECIES","Astragalus kentrophyta A.Gray","Astragalus kentrophyta","","","Colorado",39.859775,-108.319367,3
"322292",4413679317,"Fabales","Fabaceae","Astragalus","Astragalus lutosus","","SPECIES","Astragalus lutosus M.E.Jones","Astragalus lutosus","","","Colorado",39.85955,-108.319113,6
"479281",3383853303,"Malpighiales","Salicaceae","Populus","Populus tremuloides","","SPECIES","Populus tremuloides Michx.","Populus tremuloides","","","Colorado",39.620188,-108.796056,5
"615417",2818706233,"Malpighiales","Salicaceae","Populus","Populus tremuloides","","SPECIES","Populus tremuloides Michx.","Populus tremuloides","","","Colorado",39.603308,-108.800462,10
"4918331",4076290499,"Ranunculales","Ranunculaceae","Aquilegia","Aquilegia coerulea","","SPECIES","Aquilegia coerulea James","Aquilegia coerulea","","","Colorado",39.588017,-108.82698,6
"910770",3355473410,"Rosales","Rosaceae","Cercocarpus","Cercocarpus montanus","","SPECIES","Cercocarpus montanus Raf.","Cercocarpus montanus","","","Colorado",39.551061,-108.801838,32
"12163",4171997124,"Asterales","Asteraceae","Ericameria","Ericameria nauseosa","","SPECIES","Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird","Ericameria nauseosa","","","Utah",39.361786,-109.241941,4
"372247",4171963863,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Utah",39.538708,-109.132286,41
"579394",4171902121,"Asterales","Asteraceae","Carduus","Carduus nutans","","SPECIES","Carduus nutans L.","Carduus nutans","","","Utah",39.540296,-109.136049,4
"741915",4171552642,"Asterales","Asteraceae","Grindelia","Grindelia squarrosa","","SPECIES","Grindelia squarrosa (Pursh) Dunal","Grindelia squarrosa","","","Utah",39.540232,-109.13593,4
"144906",4162037587,"Celastrales","Celastraceae","Paxistima","Paxistima myrsinites","","SPECIES","Paxistima myrsinites (Pursh) Raf.","Paxistima myrsinites","","","Utah",39.189987,-109.70034,3
"5011851",4138356048,"Myrtales","Onagraceae","Oenothera","Oenothera lavandulifolia","","SPECIES","Oenothera lavandulifolia Torr. & A.Gray","Oenothera lavandulifolia","","","Utah",39.448275,-109.156472,5
"671672",4138047511,"Santalales","Comandraceae","Comandra","Comandra umbellata","","SPECIES","Comandra umbellata (L.) Nutt.","Comandra umbellata","","","Utah",39.460769,-109.107961,3
"752832",4130151596,"Saxifragales","Grossulariaceae","Ribes","Ribes aureum","","SPECIES","Ribes aureum Pursh","Ribes aureum","","","Utah",39.258301,-109.708916,17
"777288",4138260237,"Saxifragales","Crassulaceae","Sedum","Sedum lanceolatum","","SPECIES","Sedum lanceolatum Torr.","Sedum lanceolatum","","","Utah",39.447787,-109.157634,4
"140365",4172037359,"Brassicales","Cleomaceae","Cleomella","Cleomella serrulata","","SPECIES","Cleomella serrulata (Pursh) Roalson & J.C.Hall","Cleomella serrulata","","","Utah",39.538888,-109.133578,3
"744630",4138234581,"Dipsacales","Viburnaceae","Sambucus","Sambucus cerulea","","SPECIES","Sambucus cerulea Raf.","Sambucus cerulea","","","Utah",39.390202,-109.227376,4
"391005",4063067500,"Fabales","Fabaceae","Oxytropis","Oxytropis oreophila","","SPECIES","Oxytropis oreophila A.Gray","Oxytropis oreophila","","","Utah",39.427089,-109.321853,3
"649091",4172183002,"Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","","SPECIES","Asclepias speciosa Torr.","Asclepias speciosa","","","Utah",39.585266,-109.163452,4
"228474",4172241443,"Gentianales","Apocynaceae","Asclepias","Asclepias speciosa","","SPECIES","Asclepias speciosa Torr.","Asclepias speciosa","","","Utah",39.361875,-109.242019,4
"10332",2311285284,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Utah",38.582478,-112.389038,6
"23311",4407199780,"Asterales","Asteraceae","Onopordum","Onopordum acanthium","","SPECIES","Onopordum acanthium L.","Onopordum acanthium","","","Utah",38.613733,-112.614428,8
