"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","biome"
"119911",3743059849,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.376399,-94.56706,50,"Southeastern Mixed Forest"
"125678",3858492712,"Asterales","Asteraceae","Verbesina","Verbesina helianthoides","","SPECIES","Verbesina helianthoides Michx.","Verbesina helianthoides","","","Oklahoma",35.428863,-94.548912,4,"Southeastern Mixed Forest"
"129071",3859372755,"Asterales","Asteraceae","Plectocephalus","Plectocephalus americanus","","SPECIES","Plectocephalus americanus (Nutt.) D.Don","Plectocephalus americanus","","","Oklahoma",35.274497,-94.542852,7,"Southeastern Mixed Forest"
"167811",3355590297,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.405606,-94.548424,24,"Southeastern Mixed Forest"
"186963",3465911771,"Asterales","Asteraceae","Echinacea","Echinacea pallida","","SPECIES","Echinacea pallida (Nutt.) Nutt.","Echinacea pallida","","","Oklahoma",35.390933,-94.557248,38,"Southeastern Mixed Forest"
"229769",2901585598,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.417213,-94.514149,28,"Southeastern Mixed Forest"
"236533",3039249421,"Asterales","Asteraceae","Liatris","Liatris pycnostachya","","SPECIES","Liatris pycnostachya Michx.","Liatris pycnostachya","","","Oklahoma",35.264258,-94.477395,5,"Southeastern Mixed Forest"
"267506",3005106595,"Asterales","Asteraceae","Baccharis","Baccharis halimifolia","","SPECIES","Baccharis halimifolia L.","Baccharis halimifolia","","","Oklahoma",35.303834,-94.759797,24,"Southeastern Mixed Forest"
"280298",3466196490,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.398689,-94.616734,24,"Southeastern Mixed Forest"
"281743",3764314808,"Asterales","Asteraceae","Packera","Packera obovata","","SPECIES","Packera obovata (Muhl. ex Willd.) W.A.Weber & Á.Löve","Packera obovata","","","Oklahoma",35.425259,-94.618622,50,"Southeastern Mixed Forest"
"290799",3764546159,"Asterales","Asteraceae","Krigia","Krigia dandelion","","SPECIES","Krigia dandelion (L.) Nutt.","Krigia dandelion","","","Oklahoma",35.409641,-94.51541,24,"Southeastern Mixed Forest"
"343888",3860451056,"Asterales","Asteraceae","Rudbeckia","Rudbeckia amplexicaulis","","SPECIES","Rudbeckia amplexicaulis Vahl","Rudbeckia amplexicaulis","","","Oklahoma",35.372131,-94.495588,24,"Southeastern Mixed Forest"
"353392",3860153493,"Asterales","Asteraceae","Coreopsis","Coreopsis tinctoria","","SPECIES","Coreopsis tinctoria Nutt.","Coreopsis tinctoria","","","Oklahoma",35.248829,-94.476026,7,"Southeastern Mixed Forest"
"382302",3466309873,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.480047,-94.542428,25,"Southeastern Mixed Forest"
"423232",3998535799,"Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","","SPECIES","Eupatorium serotinum Michx.","Eupatorium serotinum Michx.","Michx.","","",35.464516,-94.526662,12,"Southeastern Mixed Forest"
"423596",3953935481,"Asterales","Asteraceae","Soliva","Soliva sessilis","","SPECIES","Soliva sessilis Ruiz & Pav.","Soliva sessilis Ruiz & Pav.","Ruiz & Pav.","","",35.471122,-94.628729,12,"Southeastern Mixed Forest"
"432345",4133626544,"Asterales","Campanulaceae","Triodanis","Triodanis biflora","","SPECIES","Triodanis biflora Nieuwl.","Triodanis biflora","","","Oklahoma",35.407641,-94.682055,5,"Southeastern Mixed Forest"
"444752",3499364107,"Asterales","Asteraceae","Krigia","Krigia dandelion","","SPECIES","Krigia dandelion (L.) Nutt.","Krigia dandelion","","","Oklahoma",35.471524,-94.534159,42,"Southeastern Mixed Forest"
"475882",3902926848,"Asterales","Asteraceae","Silphium","Silphium perfoliatum","","SPECIES","Silphium perfoliatum L.","Silphium perfoliatum","","","Oklahoma",35.460495,-94.656028,20,"Southeastern Mixed Forest"
"484985",2283103194,"Asterales","Asteraceae","Helenium","Helenium flexuosum","","SPECIES","Helenium flexuosum Raf.","Helenium flexuosum","","","Oklahoma",35.264222,-94.477172,5,"Southeastern Mixed Forest"
"503537",2603429488,"Asterales","Asteraceae","Taraxacum","Taraxacum officinale","","SPECIES","Taraxacum officinale Weber ex F.H.Wigg.","Taraxacum officinale","","","Oklahoma",35.361599,-94.567765,13,"Southeastern Mixed Forest"
"508749",4171687143,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.398663,-94.538872,4,"Southeastern Mixed Forest"
"510464",4171582173,"Asterales","Asteraceae","Helenium","Helenium flexuosum","","SPECIES","Helenium flexuosum Raf.","Helenium flexuosum","","","Oklahoma",35.402249,-94.58358,28,"Southeastern Mixed Forest"
"513475",3952467867,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum (L.) DC.","(L.) DC.","","",35.486545,-94.559853,25,"Southeastern Mixed Forest"
"514847",3998279500,"Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia","","SPECIES","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia L.","L.","","",35.408201,-94.786655,9,"Southeastern Mixed Forest"
"543964",2901519562,"Asterales","Asteraceae","Symphyotrichum","Symphyotrichum praealtum","","SPECIES","Symphyotrichum praealtum (Poir.) G.L.Nesom","Symphyotrichum praealtum","","","Oklahoma",35.441662,-94.805171,5,"Southeastern Mixed Forest"
"566325",3952692241,"Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","","SPECIES","Eupatorium serotinum Michx.","Eupatorium serotinum Michx.","Michx.","","",35.47125,-94.629412,8,"Southeastern Mixed Forest"
"567261",3951973915,"Asterales","Asteraceae","Eclipta","Eclipta prostrata","","SPECIES","Eclipta prostrata (L.) L.","Eclipta prostrata (L.) L.","(L.) L.","","",35.471058,-94.629508,5,"Southeastern Mixed Forest"
"573036",3956461096,"Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia","","SPECIES","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia L.","L.","","",35.488359,-94.620042,12,"Southeastern Mixed Forest"
"575137",3416213519,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.316478,-94.552413,20,"Southeastern Mixed Forest"
"583042",3384975940,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.448986,-94.617906,24,"Southeastern Mixed Forest"
"589515",3466189947,"Asterales","Asteraceae","Silphium","Silphium laciniatum","","SPECIES","Silphium laciniatum L.","Silphium laciniatum","","","Oklahoma",35.390992,-94.55745,37,"Southeastern Mixed Forest"
"611217",3385022947,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.448427,-94.601385,24,"Southeastern Mixed Forest"
"660839",2451584861,"Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","","SPECIES","Arnoglossum plantagineum Raf.","Arnoglossum plantagineum","","","Oklahoma",35.26435,-94.476403,5,"Southeastern Mixed Forest"
"677841",3384351979,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.448616,-94.601266,24,"Southeastern Mixed Forest"
"686219",3892691976,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.390788,-94.55658,20,"Southeastern Mixed Forest"
"723164",3902847003,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.459695,-94.656417,20,"Southeastern Mixed Forest"
"753031",3892627178,"Asterales","Asteraceae","Grindelia","Grindelia lanceolata","","SPECIES","Grindelia lanceolata Nutt.","Grindelia lanceolata","","","Oklahoma",35.458469,-94.785984,22,"Southeastern Mixed Forest"
"783520",3873279925,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.378825,-94.601067,20,"Southeastern Mixed Forest"
"837001",3355600234,"Asterales","Asteraceae","Cirsium","Cirsium altissimum","","SPECIES","Cirsium altissimum (L.) Spreng.","Cirsium altissimum","","","Oklahoma",35.449128,-94.531185,39,"Southeastern Mixed Forest"
"847200",2980983560,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.419483,-94.496078,17,"Southeastern Mixed Forest"
"849863",2451710921,"Asterales","Asteraceae","Helenium","Helenium amarum","","SPECIES","Helenium amarum (Raf.) H.Rock","Helenium amarum","","","Oklahoma",35.413349,-94.595212,8,"Southeastern Mixed Forest"
"923731",3902725689,"Asterales","Asteraceae","Helianthus","Helianthus tuberosus","","SPECIES","Helianthus tuberosus L.","Helianthus tuberosus","","","Oklahoma",35.459795,-94.656463,4,"Southeastern Mixed Forest"
"926464",2981078386,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Oklahoma",35.253808,-94.621345,13,"Southeastern Mixed Forest"
"944063",3328014126,"Asterales","Asteraceae","Liatris","Liatris pycnostachya","","SPECIES","Liatris pycnostachya Michx.","Liatris pycnostachya","","","Oklahoma",35.407775,-94.51808,20,"Southeastern Mixed Forest"
"947624",3902553394,"Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","","SPECIES","Eupatorium perfoliatum L.","Eupatorium perfoliatum","","","Oklahoma",35.419015,-94.637615,24,"Southeastern Mixed Forest"
"955800",3355652156,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.405611,-94.54841,24,"Southeastern Mixed Forest"
"962616",3859427758,"Asterales","Asteraceae","Rudbeckia","Rudbeckia amplexicaulis","","SPECIES","Rudbeckia amplexicaulis Vahl","Rudbeckia amplexicaulis","","","Oklahoma",35.330508,-94.5782,15,"Southeastern Mixed Forest"
"966866",3466261356,"Asterales","Asteraceae","Cirsium","Cirsium horridulum","","SPECIES","Cirsium horridulum Michx.","Cirsium horridulum","","","Oklahoma",35.388379,-94.779186,24,"Southeastern Mixed Forest"
"978123",3998749724,"Asterales","Asteraceae","Cirsium","Cirsium altissimum","","SPECIES","Cirsium altissimum (L.) Hill","Cirsium altissimum (L.) Hill","(L.) Hill","","",35.448004,-94.463847,12,"Southeastern Mixed Forest"
"22502",3859157031,"Ericales","Balsaminaceae","Impatiens","Impatiens capensis","","SPECIES","Impatiens capensis Meerb.","Impatiens capensis","","","Oklahoma",35.420292,-94.670845,15,"Southeastern Mixed Forest"
"68447",3881375497,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana","","","Oklahoma",35.400184,-94.867555,9,"Southeastern Mixed Forest"
"329984",3998741211,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana L.","L.","","",35.411507,-94.59384,4,"Southeastern Mixed Forest"
"13323",3466172661,"Aquifoliales","Aquifoliaceae","Ilex","Ilex decidua","","SPECIES","Ilex decidua Walter","Ilex decidua","","","Oklahoma",35.333502,-94.583863,39,"Southeastern Mixed Forest"
"357261",2350419226,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Oklahoma",35.254212,-94.673455,6,"Southeastern Mixed Forest"
"220360",2813867284,"Cornales","Cornaceae","Cornus","Cornus drummondii","","SPECIES","Cornus drummondii C.A.Mey.","Cornus drummondii","","","Oklahoma",35.308822,-94.558713,24,"Southeastern Mixed Forest"
"308354",2459995805,"Geraniales","Geraniaceae","Geranium","Geranium dissectum","","SPECIES","Geranium dissectum L.","Geranium dissectum","","","Oklahoma",35.315625,-94.76123,5,"Southeastern Mixed Forest"
"345671",2850684591,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Oklahoma",35.441542,-94.804764,10,"Southeastern Mixed Forest"
"346556",2802752119,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Oklahoma",35.46336,-94.743493,10,"Southeastern Mixed Forest"
"4339321",3912339228,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Oklahoma",35.313542,-94.544067,20,"Southeastern Mixed Forest"
"440547",3858814912,"Malvales","Malvaceae","Callirhoe","Callirhoe digitata","","SPECIES","Callirhoe digitata Nutt.","Callirhoe digitata","","","Oklahoma",35.463495,-94.653463,20,"Southeastern Mixed Forest"
"4510661",3384984559,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Oklahoma",35.410702,-94.592999,47,"Southeastern Mixed Forest"
"489353",3889121851,"Myrtales","Lythraceae","Ammannia","Ammannia coccinea","","SPECIES","Ammannia coccinea Rottb.","Ammannia coccinea","","","Oklahoma",35.411298,-94.51412,24,"Southeastern Mixed Forest"
"5033301",3112881456,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Oklahoma",35.458853,-94.785871,35,"Southeastern Mixed Forest"
"506405",3889119044,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Oklahoma",35.411305,-94.514049,24,"Southeastern Mixed Forest"
"517372",3039144046,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Oklahoma",35.398049,-94.776314,32,"Southeastern Mixed Forest"
"518392",3881339458,"Myrtales","Lythraceae","Lythrum","Lythrum alatum","","SPECIES","Lythrum alatum Pursh","Lythrum alatum","","","Oklahoma",35.321697,-94.568703,4,"Southeastern Mixed Forest"
"527096",3858862627,"Myrtales","Lythraceae","Lythrum","Lythrum alatum","","SPECIES","Lythrum alatum Pursh","Lythrum alatum","","","Oklahoma",35.41133,-94.514028,24,"Southeastern Mixed Forest"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southeastern Mixed Forest"
"545566",2283102086,"Myrtales","Lythraceae","Lythrum","Lythrum alatum","alatum","VARIETY","Lythrum alatum var. alatum","Lythrum alatum alatum","","","Oklahoma",35.263958,-94.477067,5,"Southeastern Mixed Forest"
"558809",3466178309,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Oklahoma",35.429799,-94.535661,42,"Southeastern Mixed Forest"
"568320",3302155166,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Oklahoma",35.430022,-94.716903,4,"Southeastern Mixed Forest"
"575897",2802830169,"Myrtales","Onagraceae","Ludwigia","Ludwigia alternifolia","","SPECIES","Ludwigia alternifolia L.","Ludwigia alternifolia","","","Arkansas",35.27118,-94.43411,10,"Southeastern Mixed Forest"
"638578",3860153501,"Piperales","Aristolochiaceae","Isotrema","Isotrema tomentosum","","SPECIES","Aristolochia tomentosa Sims","Aristolochia tomentosa","","","Oklahoma",35.330417,-94.578163,22,"Southeastern Mixed Forest"
"663921",3031693022,"Proteales","Nelumbonaceae","Nelumbo","Nelumbo lutea","","SPECIES","Nelumbo lutea (Willd.) Pers.","Nelumbo lutea","","","Oklahoma",35.477621,-94.514918,5,"Southeastern Mixed Forest"
"754502",3466535540,"Saxifragales","Altingiaceae","Liquidambar","Liquidambar styraciflua","","SPECIES","Liquidambar styraciflua L.","Liquidambar styraciflua","","","Arkansas",35.387054,-94.432647,8,"Southeastern Mixed Forest"
"807796",3960339000,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia (L.) Planch.","(L.) Planch.","","",35.467214,-94.780617,9,"Southeastern Mixed Forest"
"814000",3954562644,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia (L.) Planch.","(L.) Planch.","","",35.429526,-94.529772,10,"Southeastern Mixed Forest"
"840382",3031702652,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia","","","Oklahoma",35.410428,-94.514179,24,"Southeastern Mixed Forest"
"8474901",2649885755,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia (L.) Planch.","(L.) Planch.","","",35.417925,-94.510001,11,"Southeastern Mixed Forest"
"8592",2818548844,"Apiales","Apiaceae","Eryngium","Eryngium yuccifolium","","SPECIES","Eryngium yuccifolium Michx.","Eryngium yuccifolium","","","Oklahoma",35.394438,-94.564087,20,"Southeastern Mixed Forest"
"41961",3468943885,"Apiales","Apiaceae","Zizia","Zizia aurea","","SPECIES","Zizia aurea (L.) W.D.J.Koch","Zizia aurea","","","Oklahoma",35.450378,-94.52735,20,"Southeastern Mixed Forest"
"43211",3759696606,"Apiales","Apiaceae","Zizia","Zizia aurea","","SPECIES","Zizia aurea (L.) W.D.J.Koch","Zizia aurea","","","Oklahoma",35.430521,-94.778939,30,"Southeastern Mixed Forest"
"148364",2802802069,"Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum tenuifolium","","SPECIES","Pycnanthemum tenuifolium Schrad.","Pycnanthemum tenuifolium","","","Arkansas",35.27113,-94.43414,10,"Southeastern Mixed Forest"
"148692",3873903779,"Lamiales","Lamiaceae","Monarda","Monarda punctata","","SPECIES","Monarda punctata L.","Monarda punctata","","","Oklahoma",35.321913,-94.55632,20,"Southeastern Mixed Forest"
"1640481",3784881308,"Lamiales","Plantaginaceae","Penstemon","Penstemon tubaeflorus","","SPECIES","Penstemon tubaeflorus Nutt.","Penstemon tubaeflorus","","","Oklahoma",35.449783,-94.55513,32,"Southeastern Mixed Forest"
"168529",2802900165,"Lamiales","Lamiaceae","Physostegia","Physostegia angustifolia","","SPECIES","Physostegia angustifolia Fernald","Physostegia angustifolia","","","Arkansas",35.27131,-94.43409,10,"Southeastern Mixed Forest"
"169634",3330770011,"Lamiales","Lamiaceae","Monarda","Monarda punctata","","SPECIES","Monarda punctata L.","Monarda punctata","","","Oklahoma",35.361247,-94.504463,20,"Southeastern Mixed Forest"
"173724",3784773635,"Lamiales","Orobanchaceae","Castilleja","Castilleja indivisa","","SPECIES","Castilleja indivisa Engelm.","Castilleja indivisa","","","Oklahoma",35.314137,-94.562751,7,"Southeastern Mixed Forest"
"195671",4127256174,"Lamiales","Plantaginaceae","Penstemon","Penstemon tubaeflorus","","SPECIES","Penstemon tubaeflorus Nutt.","Penstemon tubaeflorus","","","Oklahoma",35.392499,-94.548628,47,"Southeastern Mixed Forest"
"2559101",3873408626,"Lamiales","Verbenaceae","Phyla","Phyla nodiflora","","SPECIES","Phyla nodiflora (L.) Greene","Phyla nodiflora","","","Oklahoma",35.313495,-94.544145,4,"Southeastern Mixed Forest"
"275553",3113527832,"Lamiales","Lamiaceae","Monarda","Monarda russeliana","","SPECIES","Monarda russeliana Nutt. ex Sims","Monarda russeliana","","","Oklahoma",35.44051,-94.515424,40,"Southeastern Mixed Forest"
"2990581",2802667162,"Lamiales","Lamiaceae","Monarda","Monarda fistulosa","","SPECIES","Monarda fistulosa L.","Monarda fistulosa","","","Arkansas",35.27087,-94.4325,10,"Southeastern Mixed Forest"
"316648",3881724490,"Lamiales","Verbenaceae","Verbena","Verbena hastata","","SPECIES","Verbena hastata L.","Verbena hastata","","","Oklahoma",35.47675,-94.743492,16,"Southeastern Mixed Forest"
"331184",3764206245,"Lamiales","Lamiaceae","Salvia","Salvia lyrata","","SPECIES","Salvia lyrata L.","Salvia lyrata","","","Oklahoma",35.296993,-94.797104,6,"Southeastern Mixed Forest"
"3433601",3860533020,"Lamiales","Orobanchaceae","Castilleja","Castilleja indivisa","","SPECIES","Castilleja indivisa Engelm.","Castilleja indivisa","","","Oklahoma",35.430035,-94.717043,10,"Southeastern Mixed Forest"
"375380",3858541403,"Lamiales","Lamiaceae","Monarda","Monarda fistulosa","","SPECIES","Monarda fistulosa L.","Monarda fistulosa","","","Oklahoma",35.377317,-94.5666,38,"Southeastern Mixed Forest"
"499886",3956873417,"Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","","SPECIES","Glechoma hederacea L.","Glechoma hederacea L.","L.","","",35.462962,-94.79022,8,"Southeastern Mixed Forest"
"519178",3764213696,"Lamiales","Lamiaceae","Salvia","Salvia lyrata","","SPECIES","Salvia lyrata L.","Salvia lyrata","","","Oklahoma",35.398532,-94.775488,24,"Southeastern Mixed Forest"
"531959",2988485487,"Lamiales","Orobanchaceae","Castilleja","Castilleja indivisa","","SPECIES","Castilleja indivisa Engelm.","Castilleja indivisa","","","Oklahoma",35.393258,-94.593035,3,"Southeastern Mixed Forest"
"533171",3784909721,"Lamiales","Plantaginaceae","Penstemon","Penstemon digitalis","","SPECIES","Penstemon digitalis Nutt.","Penstemon digitalis","","","Oklahoma",35.407112,-94.52092,10,"Southeastern Mixed Forest"
"543031",3958777822,"Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","","SPECIES","Lamium amplexicaule L.","Lamium amplexicaule L.","L.","","",35.440861,-94.694614,13,"Southeastern Mixed Forest"
"549831",3747338148,"Lamiales","Verbenaceae","Verbena","Verbena canadensis","","SPECIES","Glandularia canadensis (L.) Nutt.","Glandularia canadensis","","","Oklahoma",35.397054,-94.779035,37,"Southeastern Mixed Forest"
"5779441",2813886131,"Lamiales","Bignoniaceae","Campsis","Campsis radicans","","SPECIES","Campsis radicans (L.) Bureau","Campsis radicans","","","Oklahoma",35.311924,-94.558216,8,"Southeastern Mixed Forest"
"580905",3951761929,"Lamiales","Lamiaceae","Perilla","Perilla frutescens","","SPECIES","Perilla frutescens (L.) Britton","Perilla frutescens (L.) Britton","(L.) Britton","","",35.332163,-94.578383,21,"Southeastern Mixed Forest"
"629323",3859131539,"Lamiales","Bignoniaceae","Campsis","Campsis radicans","","SPECIES","Campsis radicans (L.) Bureau","Campsis radicans","","","Oklahoma",35.447243,-94.445583,11,"Southeastern Mixed Forest"
"6316081",3759580416,"Lamiales","Lamiaceae","Prunella","Prunella vulgaris","","SPECIES","Prunella vulgaris L.","Prunella vulgaris","","","Oklahoma",35.255663,-94.62372,5,"Southeastern Mixed Forest"
"644833",2422854005,"Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum tenuifolium","","SPECIES","Pycnanthemum tenuifolium Schrad.","Pycnanthemum tenuifolium","","","Oklahoma",35.263833,-94.477433,5,"Southeastern Mixed Forest"
"649348",3957574096,"Lamiales","Lamiaceae","Prunella","Prunella vulgaris","","SPECIES","Prunella vulgaris L.","Prunella vulgaris L.","L.","","",35.489277,-94.619971,17,"Southeastern Mixed Forest"
"700831",2634424319,"Lamiales","Lamiaceae","Monarda","Monarda russeliana","","SPECIES","Monarda russeliana Nutt. ex Sims","Monarda russeliana","","","Oklahoma",35.25718,-94.623742,8,"Southeastern Mixed Forest"
"721399",3881888595,"Lamiales","Verbenaceae","Phyla","Phyla nodiflora","","SPECIES","Phyla nodiflora (L.) Greene","Phyla nodiflora","","","Oklahoma",35.410123,-94.515328,24,"Southeastern Mixed Forest"
"7374081",3892357493,"Lamiales","Verbenaceae","Verbena","Verbena hastata","","SPECIES","Verbena hastata L.","Verbena hastata","","","Oklahoma",35.434505,-94.702338,20,"Southeastern Mixed Forest"
"740823",3117758944,"Lamiales","Orobanchaceae","Castilleja","Castilleja indivisa","","SPECIES","Castilleja indivisa Engelm.","Castilleja indivisa","","","Oklahoma",35.313962,-94.570472,9,"Southeastern Mixed Forest"
"761441",3802422122,"Lamiales","Lamiaceae","Prunella","Prunella vulgaris","","SPECIES","Prunella vulgaris L.","Prunella vulgaris","","","Oklahoma",35.32935,-94.637558,4,"Southeastern Mixed Forest"
"7705611",3873250361,"Lamiales","Lamiaceae","Monarda","Monarda punctata","","SPECIES","Monarda punctata L.","Monarda punctata","","","Oklahoma",35.311,-94.539847,8,"Southeastern Mixed Forest"
"771833",2813871228,"Lamiales","Lamiaceae","Teucrium","Teucrium canadense","","SPECIES","Teucrium canadense L.","Teucrium canadense","","","Oklahoma",35.312598,-94.559016,12,"Southeastern Mixed Forest"
"785515",2850984612,"Lamiales","Acanthaceae","Ruellia","Ruellia humilis","","SPECIES","Ruellia humilis Nutt.","Ruellia humilis","","","Arkansas",35.27052,-94.43291,10,"Southeastern Mixed Forest"
"801956",3466338809,"Lamiales","Verbenaceae","Verbena","Verbena hastata","","SPECIES","Verbena hastata L.","Verbena hastata","","","Oklahoma",35.436425,-94.867387,24,"Southeastern Mixed Forest"
"8021021",3903077100,"Lamiales","Orobanchaceae","Aureolaria","Aureolaria grandiflora","","SPECIES","Aureolaria grandiflora (Benth.) Pennell","Aureolaria grandiflora","","","Oklahoma",35.473325,-94.510353,20,"Southeastern Mixed Forest"
"807527",3955465069,"Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","","SPECIES","Lamium amplexicaule L.","Lamium amplexicaule L.","L.","","",35.471302,-94.628973,10,"Southeastern Mixed Forest"
"828361",3956692205,"Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","","SPECIES","Lamium amplexicaule L.","Lamium amplexicaule L.","L.","","",35.472044,-94.801794,9,"Southeastern Mixed Forest"
"911951",2813981428,"Solanales","Convolvulaceae","Ipomoea","Ipomoea pandurata","","SPECIES","Ipomoea pandurata (L.) G.Mey.","Ipomoea pandurata","","","Oklahoma",35.27598,-94.616545,32,"Southeastern Mixed Forest"
"9355991",3955178190,"Solanales","Solanaceae","Solanum","Solanum carolinense","","SPECIES","Solanum carolinense L.","Solanum carolinense L.","L.","","",35.470864,-94.629416,4,"Southeastern Mixed Forest"
"209661",4009839342,"Caryophyllales","Portulacaceae","Portulaca","Portulaca oleracea","","SPECIES","Portulaca oleracea L.","Portulaca oleracea","","","Oklahoma",35.458506,-94.786335,5,"Southeastern Mixed Forest"
"295174",2456545359,"Caryophyllales","Polygonaceae","Persicaria","Persicaria longiseta","","SPECIES","Persicaria longiseta (Bruijn) Kitag.","Persicaria longiseta","","","Oklahoma",35.407786,-94.556242,19,"Southeastern Mixed Forest"
"3068451",4018251422,"Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera philoxeroides","","SPECIES","Alternanthera philoxeroides (Mart.) Griseb.","Alternanthera philoxeroides","","","Oklahoma",35.322454,-94.826527,15,"Southeastern Mixed Forest"
