"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"375702",4006658315,"Ranunculales","Ranunculaceae","Delphinium","Delphinium sutherlandii","","SPECIES","Delphinium sutherlandii M.J.Warnock","Delphinium sutherlandii","","","Washington",47.96774,-117.457174,15
"376439",3301820731,"Ranunculales","Ranunculaceae","Anemone","Anemone piperi","","SPECIES","Anemonoides piperi (Rydb.) Holub","Anemonoides piperi","","","Washington",47.983155,-117.299203,10
"502657",2429335280,"Ranunculales","Berberidaceae","Mahonia","Mahonia repens","","SPECIES","Berberis repens Lindl.","Berberis repens","","","Washington",47.935451,-118.034629,37
"539291",3090760712,"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus glaberrimus","","SPECIES","Ranunculus glaberrimus Hook.","Ranunculus glaberrimus","","","Washington",47.952962,-117.461089,32
"578935",4091491619,"Ranunculales","Berberidaceae","Mahonia","Mahonia aquifolium","","SPECIES","Berberis aquifolium Pursh","Berberis aquifolium","","","Washington",47.961972,-117.516288,5
"680184",3124496854,"Rosales","Urticaceae","Urtica","Urtica gracilis","","SPECIES","Urtica gracilis Aiton","Urtica gracilis","","","Washington",47.98257,-117.299308,30
"687143",4172055830,"Rosales","Rosaceae","Prunus","Prunus virginiana","","SPECIES","Prunus virginiana L.","Prunus virginiana","","","Washington",47.935787,-117.282307,4
"7024181",3947352484,"Rosales","Rosaceae","Malus","Malus domestica","","SPECIES","Malus domestica (Suckow) Borkh.","Malus domestica","","","Washington",47.976799,-117.328117,45
"7076981",3113370377,"Rosales","Rosaceae","Amelanchier","Amelanchier alnifolia","","SPECIES","Amelanchier alnifolia (Nutt.) Nutt.","Amelanchier alnifolia","","","Washington",47.967201,-117.558925,5
"7382621",3058902281,"Rosales","Rosaceae","Spiraea","Spiraea douglasii","","SPECIES","Spiraea douglasii Hook.","Spiraea douglasii","","","Washington",47.961108,-117.517678,5
"893502",4407369318,"Rosales","Rosaceae","Physocarpus","Physocarpus malvaceus","","SPECIES","Physocarpus malvaceus (Greene) Kuntze","Physocarpus malvaceus","","","Washington",47.935451,-118.034629,37
"928847",3947433481,"Rosales","Rosaceae","Malus","Malus domestica","","SPECIES","Malus domestica (Suckow) Borkh.","Malus domestica","","","Washington",47.976799,-117.328117,39
"21546",3383936126,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Washington",47.888363,-117.088761,4
"24187",2864605257,"Asterales","Asteraceae","Canadanthus","Canadanthus modestus","","SPECIES","Canadanthus modestus (Lindl.) G.L.Nesom","Canadanthus modestus","","","Washington",47.888192,-117.125228,10
"34935",3355189360,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.898137,-117.098114,4
"35071",4006499590,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Washington",47.833028,-117.18297,8
"35145",2603465516,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Washington",47.924085,-117.655436,7
"49271",3455547617,"Asterales","Asteraceae","Senecio","Senecio triangularis","","SPECIES","Senecio triangularis Hook.","Senecio triangularis","","","Washington",47.916317,-117.098859,8
"62560",2311369556,"Asterales","Asteraceae","Hieracium","Hieracium scouleri","albertinum","VARIETY","Hieracium scouleri var. albertinum (Farr) G.W.Douglas & G.A.Allen","Hieracium scouleri albertinum","","","Washington",47.927363,-117.144128,5
"71588",3994335351,"Asterales","Asteraceae","Centaurea","Centaurea australis","australis","SUBSPECIES","Centaurea stoebe subsp. australis (Pancic ex A.Kern.) Greuter","Centaurea stoebe australis","","","Washington",47.903253,-117.101319,5
"73160",2851217366,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.904218,-117.100249,5
"96309",2864867429,"Asterales","Asteraceae","Cirsium","Cirsium arvense","","SPECIES","Cirsium arvense (L.) Scop.","Cirsium arvense","","","Washington",47.903136,-117.101167,5
"107234",2850896338,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.894856,-117.098477,10
"118281",3892451688,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.891072,-117.082253,33
"124534",3859771882,"Asterales","Asteraceae","Pilosella","Pilosella aurantiaca","","SPECIES","Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.","Pilosella aurantiaca","","","Washington",47.800042,-117.120681,5
"128638",4405238570,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.919594,-117.123824,16
"142575",3892404476,"Asterales","Asteraceae","Ionactis","Ionactis stenomeres","","SPECIES","Ionactis stenomeres (A.Gray) Greene","Ionactis stenomeres","","","Washington",47.918797,-117.112433,5
"170117",3892480464,"Asterales","Asteraceae","Senecio","Senecio triangularis","","SPECIES","Senecio triangularis Hook.","Senecio triangularis","","","Washington",47.917717,-117.113608,4
"171877",2283223015,"Asterales","Asteraceae","Cirsium","Cirsium vulgare","","SPECIES","Cirsium vulgare (Savi) Ten.","Cirsium vulgare","","","Washington",47.901147,-117.437427,7
"199941",2850724461,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Washington",47.903916,-117.100521,5
"212785",2992866428,"Asterales","Asteraceae","Senecio","Senecio integerrimus","","SPECIES","Senecio integerrimus Nutt.","Senecio integerrimus","","","Washington",47.921564,-117.652652,14
"240352",4153789771,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Washington",47.888797,-117.381904,7
"251369",2901692348,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Washington",47.928852,-117.358929,35
"264043",3888838454,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Washington",47.900762,-117.13893,4
"315235",3985730928,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Washington",47.906403,-117.360985,12
"371171",1571097954,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Washington",47.901632,-117.548481,12
